Mortgage ID,Customer ID,Bank ID,Origination Date,Maturity Date,City,State,Property Type,Loan Purpose,Property Value (INR),Original Loan Amount (INR),Down Payment (INR),Loan Term (Years),Interest Rate (%),Rate Type,Current Balance (INR),Monthly EMI (INR),Current LTV (%),Credit Score,Last Payment Date,Last Payment Amount (INR),Next Payment Due Date,Payment Status,Days Past Due,Income to EMI Ratio (%),Auto Debit Enabled,Insurance With Bank
MORT500058,CUST10058,KOTAK001,2020-03-24,2045-03-24,Kolkata,West Bengal,Villa,Home Purchase,21753000,17382000,4371000,25,9.2,Floating,15843054,148257.04,72.83,697,2026-08-23,61662.97,2026-09-07,30_DPD,36,34.1,Yes,Yes
MORT500059,CUST10059,SBI001,2022-02-02,2047-02-02,Hyderabad,Telangana,Independent House,Home Construction,16557000,10775000,5782000,25,8.24,Floating,10065663,84883.51,60.79,689,2026-08-26,84117.48,2026-09-21,Current,0,28.2,Yes,Yes
MORT500060,CUST10060,ICICI001,2019-10-24,2049-10-24,Chennai,Tamil Nadu,Independent House,Balance Transfer,13099000,7920000,5179000,30,8.71,Floating,7321698,62080.55,55.9,850,2026-07-15,61271.5,2026-08-07,Current,0,48.7,Yes,No
MORT500061,CUST10061,SBI001,2020-02-23,2045-02-23,Bengaluru,Karnataka,Plot + Construction,Home Purchase,21008000,14893000,6115000,25,8.67,Floating,13550340,121633.42,64.5,756,2026-07-21,123653.66,2026-08-10,Current,0,31.8,No,Yes
MORT500062,CUST10062,KOTAK001,2023-07-10,2048-07-10,Delhi,Delhi,Apartment,Home Construction,11922000,7927000,3995000,25,7.25,Floating,7417605,57296.9,62.22,620,2026-08-03,58359.72,2026-08-21,Current,0,49.0,Yes,No
MORT500063,CUST10063,PNB001,2021-04-17,2046-04-17,Bhubaneswar,Odisha,Villa,Home Purchase,16234000,13552000,2682000,25,10.11,Floating,12689192,124199.55,78.16,663,2026-06-30,122034.91,2026-08-03,Current,0,20.0,Yes,Yes
MORT500064,CUST10064,AXIS001,2020-09-26,2040-09-26,Jaipur,Rajasthan,Villa,Home Purchase,10249000,6718000,3531000,20,9.32,Floating,5670322,61833.04,55.33,753,2026-07-02,63067.9,2026-08-03,Current,0,30.8,Yes,Yes
MORT500065,CUST10065,HDFC001,2020-12-19,2040-12-19,Chennai,Tamil Nadu,Independent House,Home Purchase,20667000,17332000,3335000,20,9.28,Floating,14931473,159075.19,72.25,798,2026-07-23,162647.98,2026-08-22,Current,0,28.4,Yes,No
MORT500066,CUST10066,HDFC001,2025-11-26,2035-11-26,Bhubaneswar,Odisha,Villa,Balance Transfer,17573000,9898000,7675000,10,10.25,Floating,8807495,132176.9,50.12,830,2026-07-16,134142.51,2026-08-14,Current,0,28.2,Yes,Yes
MORT500067,CUST10067,SBI001,2020-11-23,2045-11-23,Bengaluru,Karnataka,Villa,Home Purchase,19264000,10912000,8352000,25,8.75,Floating,9851170,89712.31,51.14,689,2026-07-16,91041.35,2026-08-02,Current,0,22.4,Yes,Yes
MORT500068,CUST10068,ICICI001,2025-08-17,2045-08-17,Mumbai,Maharashtra,Villa,Balance Transfer,17387000,13412000,3975000,20,8.44,Floating,12875983,115883.63,74.06,837,2026-08-06,116630.72,2026-09-02,Current,0,26.5,Yes,Yes
MORT500069,CUST10069,PNB001,2022-01-21,2042-01-21,Hyderabad,Telangana,Apartment,Home Purchase,15567000,9831000,5736000,20,7.39,Floating,8682321,78537.94,55.77,712,2026-08-23,78130.75,2026-09-24,Current,0,39.4,No,Yes
MORT500070,CUST10070,PNB001,2019-05-14,2029-05-14,Bhubaneswar,Odisha,Apartment,Balance Transfer,4963000,3313000,1650000,10,10.11,Fixed,1229202,43983.59,24.77,803,2026-08-10,44425.18,2026-09-07,Current,0,30.2,Yes,Yes
MORT500071,CUST10071,HDFC001,2025-04-04,2040-04-04,Mumbai,Maharashtra,Villa,Home Purchase,23711000,17662000,6049000,15,8.71,Floating,16579417,176105.66,69.92,737,2026-08-17,93299.79,2026-09-05,60_DPD,83,34.6,Yes,No
MORT500072,CUST10072,ICICI001,2019-11-10,2039-11-10,Ahmedabad,Gujarat,Villa,Home Purchase,13552000,11504000,2048000,20,8.56,Floating,9182309,100271.68,67.76,754,2026-08-20,100559.62,2026-09-05,Current,0,33.2,Yes,Yes
MORT500073,CUST10073,KOTAK001,2019-03-25,2044-03-25,Chennai,Tamil Nadu,Apartment,Home Purchase,3297000,2139000,1158000,25,9.42,Floating,1925183,18569.56,58.39,747,2026-07-20,19028.67,2026-08-16,Current,0,50.7,Yes,Yes
MORT500074,CUST10074,ICICI001,2023-03-26,2043-03-26,Pune,Maharashtra,Apartment,Home Purchase,17398000,12407000,4991000,20,9.41,Floating,11509588,114921.32,66.15,765,2026-08-02,116693.19,2026-09-01,Current,0,51.7,Yes,No
MORT500075,CUST10075,KOTAK001,2020-04-27,2045-04-27,Jaipur,Rajasthan,Apartment,Home Purchase,6069000,4942000,1127000,25,7.19,Floating,4355614,35530.3,71.77,739,2026-07-31,35807.76,2026-08-18,Current,0,37.3,Yes,Yes
MORT500076,CUST10076,AXIS001,2020-11-17,2040-11-17,Pune,Maharashtra,Villa,Balance Transfer,5106000,3385000,1721000,20,9.68,Fixed,2891762,31951.58,56.63,714,2026-08-24,31858.72,2026-09-09,Current,0,31.6,Yes,No
MORT500077,CUST10077,KOTAK001,2023-06-04,2038-06-04,Jaipur,Rajasthan,Plot + Construction,Home Construction,19844000,16554000,3290000,15,9.53,Fixed,14824323,173160.75,74.7,721,2026-08-21,178126.04,2026-09-18,Current,0,23.7,Yes,Yes
MORT500078,CUST10078,KOTAK001,2021-04-12,2031-04-12,Kolkata,West Bengal,Apartment,Home Purchase,2998000,1940000,1058000,10,9.53,Floating,1050676,25135.0,35.05,757,2026-08-15,25167.91,2026-09-02,Current,0,53.4,Yes,Yes
MORT500079,CUST10079,KOTAK001,2025-11-20,2050-11-20,Chennai,Tamil Nadu,Villa,Home Purchase,19889000,12312000,7577000,25,9.83,Fixed,12071340,110407.18,60.69,795,2026-07-31,112395.03,2026-08-20,Current,0,22.1,No,No
MORT500080,CUST10080,PNB001,2020-12-06,2035-12-06,Chennai,Tamil Nadu,Independent House,Home Construction,7295000,4080000,3215000,15,8.26,Floating,2795954,39605.47,38.33,754,2026-07-26,40339.99,2026-08-17,Current,0,30.4,Yes,Yes
MORT500081,CUST10081,ICICI001,2021-12-21,2046-12-21,Bengaluru,Karnataka,Plot + Construction,Home Purchase,24269000,14698000,9571000,25,7.1,Floating,13261191,104821.91,54.64,681,2026-09-09,106905.56,2026-09-25,Current,0,30.4,Yes,No
MORT500082,CUST10082,HDFC001,2023-02-18,2043-02-18,Ahmedabad,Gujarat,Independent House,Home Purchase,16000000,10200000,5800000,20,9.81,Floating,9532665,97151.66,59.58,793,2026-08-27,96384.38,2026-09-19,Current,0,31.2,Yes,Yes
MORT500083,CUST10083,SBI001,2024-06-20,2044-06-20,Bengaluru,Karnataka,Independent House,Home Purchase,19956000,16611000,3345000,20,8.78,Fixed,15692651,147111.31,78.64,734,2026-08-10,149267.91,2026-09-07,Current,0,25.8,No,Yes
MORT500084,CUST10084,AXIS001,2019-08-11,2034-08-11,Mumbai,Maharashtra,Plot + Construction,Home Purchase,22665000,16510000,6155000,15,9.03,Floating,10767319,167750.19,47.51,819,2026-08-22,75163.64,2026-09-20,60_DPD,67,47.4,Yes,Yes
MORT500085,CUST10085,KOTAK001,2020-06-26,2040-06-26,Kolkata,West Bengal,Villa,Home Purchase,3417000,2047000,1370000,20,9.38,Floating,1707673,18920.61,49.98,743,2026-07-26,18860.91,2026-08-23,Current,0,24.3,Yes,Yes
MORT500086,CUST10086,AXIS001,2021-12-18,2031-12-18,Jaipur,Rajasthan,Apartment,Home Construction,17198000,11173000,6025000,10,8.65,Floating,5738506,139427.16,33.37,850,2026-07-24,138435.02,2026-08-22,Current,0,42.2,Yes,No
MORT500087,CUST10087,AXIS001,2025-10-24,2045-10-24,Pune,Maharashtra,Independent House,Home Purchase,10284000,6801000,3483000,20,7.23,Floating,6643508,53671.09,64.6,674,2026-08-19,54201.69,2026-09-04,Current,0,24.3,Yes,Yes
MORT500088,CUST10088,PNB001,2021-03-26,2046-03-26,Jaipur,Rajasthan,Independent House,Home Purchase,7240000,5335000,1905000,25,9.41,Floating,4981998,46278.38,68.81,850,2026-08-30,45902.47,2026-09-23,Current,0,22.5,Yes,No
MORT500089,CUST10089,HDFC001,2023-06-13,2043-06-13,Mumbai,Maharashtra,Plot + Construction,Home Purchase,4691000,3150000,1541000,20,8.93,Floating,2935602,28199.71,62.58,774,2026-08-16,28561.71,2026-09-02,Current,0,51.8,Yes,No
MORT500090,CUST10090,HDFC001,2022-07-15,2037-07-15,Ahmedabad,Gujarat,Plot + Construction,Home Purchase,22383000,15279000,7104000,15,8.51,Floating,12201149,150547.93,54.51,720,2026-08-14,154677.34,2026-09-08,Current,0,26.7,Yes,Yes
MORT500091,CUST10091,KOTAK001,2022-09-11,2047-09-11,Delhi,Delhi,Apartment,Home Purchase,17436000,12072000,5364000,25,9.64,Floating,11345660,106649.87,65.07,745,2026-08-21,109511.31,2026-09-09,Current,0,48.7,Yes,Yes
MORT500092,CUST10092,ICICI001,2024-05-21,2039-05-21,Chennai,Tamil Nadu,Independent House,Home Purchase,4824000,3499000,1325000,15,8.35,Floating,3232357,34149.08,67.01,749,2026-08-01,35127.62,2026-09-02,Current,0,39.1,Yes,No
MORT500093,CUST10093,SBI001,2024-04-23,2034-04-23,Bhubaneswar,Odisha,Villa,Home Purchase,9428000,7179000,2249000,10,9.22,Floating,6173384,91797.49,65.48,775,2026-07-17,93140.61,2026-08-15,Current,0,22.7,Yes,No
MORT500094,CUST10094,KOTAK001,2020-02-17,2045-02-17,Bengaluru,Karnataka,Apartment,Home Purchase,21954000,17136000,4818000,25,9.61,Fixed,15725045,151029.04,71.63,724,2026-07-19,150982.71,2026-08-16,Current,0,53.4,Yes,Yes
MORT500095,CUST10095,SBI001,2022-02-18,2042-02-18,Ahmedabad,Gujarat,Apartment,Home Construction,9658000,7822000,1836000,20,9.47,Floating,7116282,72758.13,73.68,776,2026-08-04,74241.84,2026-09-06,Current,0,28.6,Yes,Yes
MORT500096,CUST10096,HDFC001,2021-11-01,2036-11-01,Bhubaneswar,Odisha,Villa,Home Purchase,14751000,8139000,6612000,15,8.25,Floating,6225855,78959.72,42.21,716,2026-08-10,78318.35,2026-08-25,Current,0,50.1,No,Yes
MORT500097,CUST10097,AXIS001,2020-11-03,2035-11-03,Mumbai,Maharashtra,Plot + Construction,Home Purchase,16958000,13190000,3768000,15,8.81,Floating,9411954,132295.05,55.5,735,2026-08-20,133132.63,2026-09-05,Current,0,25.9,No,No
MORT500098,CUST10098,PNB001,2025-06-14,2050-06-14,Ahmedabad,Gujarat,Villa,Home Purchase,23999000,13331000,10668000,25,7.12,Floating,13060836,95243.69,54.42,758,2026-07-28,97788.77,2026-08-15,Current,0,49.9,No,Yes
MORT500099,CUST10099,KOTAK001,2023-04-16,2043-04-16,Hyderabad,Telangana,Villa,Home Purchase,17577000,14569000,3008000,20,8.93,Floating,13397755,130425.9,76.22,720,2026-07-21,66368.92,2026-08-11,90+_DPD,179,20.5,Yes,No
MORT500100,CUST10100,SBI001,2019-10-10,2044-10-10,Kolkata,West Bengal,Plot + Construction,Home Purchase,12052000,6943000,5109000,25,8.28,Floating,6037785,54881.35,50.1,845,2026-07-30,55961.81,2026-08-22,Current,0,37.9,Yes,Yes
MORT500101,CUST10101,HDFC001,2023-10-08,2048-10-08,Kolkata,West Bengal,Villa,Home Construction,15024000,9415000,5609000,25,9.41,Floating,9058904,81670.29,60.3,722,2026-07-22,80661.6,2026-08-23,Current,0,46.9,Yes,Yes
MORT500102,CUST10102,KOTAK001,2019-07-21,2034-07-21,Ahmedabad,Gujarat,Independent House,Home Purchase,3032000,2252000,780000,15,8.82,Floating,1448855,22600.77,47.79,775,2026-08-09,22459.0,2026-08-25,Current,0,52.7,Yes,Yes
MORT500103,CUST10103,ICICI001,2024-07-09,2049-07-09,Kolkata,West Bengal,Independent House,Home Purchase,24803000,14597000,10206000,25,9.38,Fixed,14139052,126318.0,57.01,718,2026-08-11,125834.03,2026-09-03,Current,0,51.8,Yes,Yes
MORT500104,CUST10104,AXIS001,2022-01-02,2042-01-02,Delhi,Delhi,Independent House,Home Purchase,4073000,3022000,1051000,20,8.97,Floating,2747867,27131.44,67.47,807,2026-08-14,26659.81,2026-09-03,Current,0,48.7,Yes,Yes
MORT500105,CUST10105,AXIS001,2021-02-23,2041-02-23,Kolkata,West Bengal,Villa,Balance Transfer,3853000,2769000,1084000,20,7.65,Floating,2352760,22561.53,61.06,709,2026-08-12,22449.69,2026-09-12,Current,0,51.1,Yes,Yes
